#p	 replica	 essentials	 correct	 fp	 fn
0.66	1	489	0.7567049808429118	0.18773946360153257	0.05555555555555555
0.68	1	491	0.7605363984674329	0.18773946360153257	0.05172413793103448
0.7000000000000001	1	488	0.7547892720306514	0.18773946360153257	0.05747126436781609
0.72	1	487	0.7490421455938697	0.1896551724137931	0.06130268199233716
0.74	1	488	0.7509578544061303	0.1896551724137931	0.05938697318007663
0.76	1	490	0.7586206896551724	0.18773946360153257	0.05363984674329502
0.78	1	496	0.7662835249042146	0.1896551724137931	0.044061302681992334
0.8	1	492	0.7547892720306514	0.19157088122605365	0.05363984674329502
0.8200000000000001	1	497	0.7605363984674329	0.19348659003831417	0.04597701149425287
0.84	1	496	0.7586206896551724	0.19348659003831417	0.04789272030651341
0.86	1	491	0.7490421455938697	0.19348659003831417	0.05747126436781609
0.88	1	492	0.7586206896551724	0.1896551724137931	0.05172413793103448
0.9	1	495	0.764367816091954	0.1896551724137931	0.04597701149425287
0.92	1	494	0.7624521072796935	0.1896551724137931	0.04789272030651341
0.9400000000000001	1	498	0.7662835249042146	0.19157088122605365	0.0421455938697318
0.96	1	497	0.7605363984674329	0.19348659003831417	0.04597701149425287
0.98	1	498	0.7662835249042146	0.19157088122605365	0.0421455938697318
1.0	1	500	0.7662835249042146	0.19348659003831417	0.040229885057471264
0.0	4	200	0.5440613026819924	0.017241379310344827	0.4386973180076628
0.02	4	244	0.5708812260536399	0.04597701149425287	0.3831417624521073
0.04	4	270	0.5747126436781609	0.06896551724137931	0.3563218390804598
0.06	4	277	0.5651340996168582	0.08045977011494253	0.3544061302681992
0.08	4	298	0.5593869731800766	0.10344827586206896	0.3371647509578544
0.1	4	326	0.5938697318007663	0.11302681992337164	0.29310344827586204
0.12	4	326	0.5823754789272031	0.11877394636015326	0.2988505747126437
0.14	4	357	0.6264367816091954	0.12643678160919541	0.2471264367816092
0.16	4	373	0.6379310344827587	0.1360153256704981	0.2260536398467433
0.18	4	381	0.6379310344827587	0.14367816091954022	0.21839080459770116
0.2	4	384	0.632183908045977	0.14942528735632185	0.21839080459770116
0.22	4	398	0.6398467432950191	0.15900383141762453	0.20114942528735633
0.24	4	404	0.6590038314176245	0.15517241379310345	0.18582375478927204
0.26	4	418	0.6781609195402298	0.15900383141762453	0.16283524904214558
0.28	4	425	0.6877394636015326	0.16091954022988506	0.15134099616858238
0.3	4	420	0.6743295019157088	0.16283524904214558	0.16283524904214558
0.32	4	420	0.6704980842911877	0.16475095785440613	0.16475095785440613
0.34	4	427	0.6800766283524904	0.16666666666666666	0.1532567049808429
0.36	4	433	0.6915708812260536	0.16666666666666666	0.1417624521072797
0.38	4	441	0.6915708812260536	0.1743295019157088	0.13409961685823754
0.4	4	442	0.6973180076628352	0.1724137931034483	0.13026819923371646
0.42	4	452	0.7049808429118773	0.1781609195402299	0.11685823754789272
0.44	4	455	0.7183908045977011	0.1743295019157088	0.10727969348659004
0.46	4	458	0.7241379310344828	0.1743295019157088	0.10153256704980843
0.48	4	466	0.7432950191570882	0.1724137931034483	0.0842911877394636
0.5	4	462	0.735632183908046	0.1724137931034483	0.09195402298850575
0.52	4	463	0.7337164750957854	0.1743295019157088	0.09195402298850575
0.54	4	464	0.7279693486590039	0.1781609195402299	0.09386973180076628
0.56	4	462	0.7279693486590039	0.17624521072796934	0.09578544061302682
0.58	4	464	0.7279693486590039	0.1781609195402299	0.09386973180076628
0.6	4	465	0.7298850574712644	0.1781609195402299	0.09195402298850575
0.62	4	462	0.7203065134099617	0.18007662835249041	0.09961685823754789
0.64	4	464	0.7203065134099617	0.18199233716475097	0.09770114942528736
0.66	4	472	0.735632183908046	0.18199233716475097	0.08237547892720307
0.68	4	478	0.7471264367816092	0.18199233716475097	0.07088122605363985
0.7000000000000001	4	480	0.7432950191570882	0.18582375478927204	0.07088122605363985
0.72	4	480	0.7394636015325671	0.18773946360153257	0.07279693486590039
0.74	4	480	0.7471264367816092	0.1839080459770115	0.06896551724137931
0.76	4	484	0.7547892720306514	0.1839080459770115	0.06130268199233716
0.78	4	484	0.7586206896551724	0.18199233716475097	0.05938697318007663
0.8	4	487	0.764367816091954	0.18199233716475097	0.05363984674329502
0.8200000000000001	4	491	0.764367816091954	0.18582375478927204	0.04980842911877394
0.84	4	490	0.7624521072796935	0.18582375478927204	0.05172413793103448
0.86	4	492	0.7662835249042146	0.18582375478927204	0.04789272030651341
0.88	4	495	0.7681992337164751	0.18773946360153257	0.044061302681992334
